Date,Jour,Semaine,Bloc,Focus semaine,Type séance,Séance prévue,Durée prévue,RPE cible,Priorité,Fait ?,Durée réelle,RPE réel,Sommeil /10,Fatigue jambes /10,Douleur /10,Golf joué ?,Score ou ressenti golf,Notes / splits
2026-07-11,Samedi,2,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",HYROX spécifique,HYROX technique 4 tours: 1 km run RPE6 + SkiErg 500 m cadence régulière + 20 wall balls 6 kg cible 3 m + 20 walking lunges sandbag 20 kg. Récup 2 min. Technique: wall ball squat complet/lancer fluide; lunges genou arrière au sol/buste haut.,55-65 min,6-7,A,,,,,,,,,Apprendre enchaînement sans se cramer
2026-07-12,Dimanche,2,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Golf long / repos,"18 trous si prévu, sinon repos complet + marche 30 min. Après: mobilité 12 min mollets/quads/hanches + auto-évaluation fatigue jambes. Si fatigue jambes >7/10: repos prioritaire.",0-240 min,2-4,B,,,,,,,,,Ne pas compenser par un WOD
2026-07-13,Lundi,3,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Force jambes,"Back squat 5x5 @112.5 kg + Romanian deadlift 4x6 @90 kg + Bulgarian split squat 3x8/jambe avec 2x20 kg + step-up box 50 cm 3x12/jambe avec 2x16 kg + finisher endurance: 3x30 walking lunges sandbag 20 kg, récup 90s. Technique: genou suit 2e orteil, gainage, respiration contrôlée.",60-70 min,7-8,A,,,,,,,,,Priorité jambes: lourd mais jamais à l'échec
2026-07-14,Mardi,3,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Running seuil / intervalles,"Échauffement 15 min + éducatifs foulée 4x60 m. Intervalles: 6x800 m allure 10 km/RPE8, récup 2 min trot. Fin: 6 min easy + 4 accélérations 15s. Technique: cadence légère, épaules basses, poser sous le centre de gravité.",50-65 min,7-8,A,,,,,,,,,Noter split moyen des 800 m
2026-07-15,Mercredi,3,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Golf / récup active,"9 trous ou practice technique golf 60-90 min + mobilité hanches/rachis thoracique 15 min + respiration 5 min. Technique golf: routine complète, équilibre finish, pas de séance physique cachée.",60-120 min,3-4,C,,,,,,,,,"Récup active, priorité fraîcheur"
2026-07-16,Jeudi,3,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Force haut + stations,Tractions strictes 4x6-8 ou tirage vertical 4x8 @75 kg + développé couché 4x6 @100 kg + rowing barre 4x8 @75 kg + sled push 6x15 m total 130 kg + sled pull 6x15 m total 90 kg + farmer carry 4x40 m 2x24 kg. Technique: push hanches basses/pas courts; pull buste gainé/bras longs; farmer épaules basses.,60-70 min,7-8,A,,,,,,,,,"Stations lourdes, qualité avant vitesse"
2026-07-17,Vendredi,3,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Zone 2,"Course Zone 2 60 min, allure conversationnelle, FC basse. Fin: 6x20s lignes droites si jambes OK + mobilité mollets/ischios 10 min. Technique: cadence stable, appuis silencieux, ne jamais dériver en seuil.",70 min,4-5,A,,,,,,,,,Séance clé moteur aérobie
2026-07-18,Samedi,3,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",HYROX spécifique,HYROX technique 4 tours: 1 km run RPE6 + SkiErg 500 m cadence régulière + 20 wall balls 6 kg cible 3 m + 20 walking lunges sandbag 20 kg. Récup 2 min. Technique: wall ball squat complet/lancer fluide; lunges genou arrière au sol/buste haut.,55-65 min,6-7,A,,,,,,,,,Apprendre enchaînement sans se cramer
2026-07-19,Dimanche,3,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Golf long / repos,"18 trous si prévu, sinon repos complet + marche 30 min. Après: mobilité 12 min mollets/quads/hanches + auto-évaluation fatigue jambes. Si fatigue jambes >7/10: repos prioritaire.",0-240 min,2-4,B,,,,,,,,,Ne pas compenser par un WOD
2026-07-20,Lundi,4,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Force jambes,"Back squat 3x5 @95 kg tempo 3s descente + Romanian deadlift 3x6 @82.5 kg + Bulgarian split squat 2x8/jambe avec 2x17.5 kg + Leg press 2x25 RPE7 + walking lunges 2x30 pas à vide. Technique: genoux alignés, pied entier au sol, buste gainé, pas d'échec.",50-60 min,6-7,A,,,,,,,,,Décharge/test technique: garder 3 reps en réserve
2026-07-21,Mardi,4,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Running seuil / intervalles,"Échauffement 15 min + éducatifs foulée 4x60 m. Intervalles: 6x800 m allure 10 km/RPE8, récup 2 min trot. Fin: 6 min easy + 4 accélérations 15s. Technique: cadence légère, épaules basses, poser sous le centre de gravité.",50-65 min,7-8,A,,,,,,,,,Noter split moyen des 800 m
2026-07-22,Mercredi,4,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Golf / récup active,"9 trous ou practice technique golf 60-90 min + mobilité hanches/rachis thoracique 15 min + respiration 5 min. Technique golf: routine complète, équilibre finish, pas de séance physique cachée.",60-120 min,3-4,C,,,,,,,,,"Récup active, priorité fraîcheur"
2026-07-23,Jeudi,4,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Force haut + stations,"Tractions/row inversé 4x6-8 + développé couché 3x6 @87.5 kg + rowing haltère 3x10/bras 32 kg + sled push technique 6x15 m total 115 kg + sled pull technique 6x15 m total 75 kg + farmer carry 4x40 m 2x24 kg. Technique: puissance propre, récup complète 90-120s.",50-60 min,6-7,A,,,,,,,,,Semaine allégée: priorité technique sled
2026-07-24,Vendredi,4,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Zone 2,"Course Zone 2 45 min, allure conversationnelle, FC basse. Fin: 6x20s lignes droites si jambes OK + mobilité mollets/ischios 10 min. Technique: cadence stable, appuis silencieux, ne jamais dériver en seuil.",55 min,4-5,A,,,,,,,,,Séance clé moteur aérobie
2026-07-25,Samedi,4,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",HYROX spécifique,Test mini-Hyrox: 1 km run + SkiErg 1000 m + 1 km run + farmer carry 200 m 2x24 kg + 1 km run + 50 wall balls 6 kg. Récup libre mais chrono continu. Technique: splits réguliers.,55-70 min,7-8,A,,,,,,,,,Test bloc 1: noter temps total + station splits
2026-07-26,Dimanche,4,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Golf long / repos,"18 trous si prévu, sinon repos complet + marche 30 min. Après: mobilité 12 min mollets/quads/hanches + auto-évaluation fatigue jambes. Si fatigue jambes >7/10: repos prioritaire.",0-240 min,2-4,B,,,,,,,,,Ne pas compenser par un WOD
2026-07-27,Lundi,5,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Force jambes,"Back squat 5x5 @112.5 kg + Romanian deadlift 4x6 @100 kg + Bulgarian split squat 3x8/jambe avec 2x22.5 kg + step-up box 50 cm 3x12/jambe avec 2x16 kg + finisher endurance: 3x30 walking lunges sandbag 20 kg, récup 90s. Technique: genou suit 2e orteil, gainage, respiration contrôlée.",60-70 min,7-8,A,,,,,,,,,Priorité jambes: lourd mais jamais à l'échec
2026-07-28,Mardi,5,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Running seuil / intervalles,"Échauffement 15 min + 3x2 km au seuil/RPE7-8, récup 3 min trot + 6x100 m relâché. Technique: allure contrôlée, pas de sprint, viser régularité des splits.",60-70 min,7-8,A,,,,,,,,,Objectif seuil: finir capable de refaire 1 rep
2026-07-29,Mercredi,5,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Golf / récup active,"9 trous ou practice technique golf 60-90 min + mobilité hanches/rachis thoracique 15 min + respiration 5 min. Technique golf: routine complète, équilibre finish, pas de séance physique cachée.",60-120 min,3-4,C,,,,,,,,,"Récup active, priorité fraîcheur"
2026-07-30,Jeudi,5,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Force haut + stations,Tractions strictes 4x6-8 ou tirage vertical 4x8 @80 kg + développé couché 4x6 @100 kg + rowing barre 4x8 @80 kg + sled push 6x15 m total 135 kg + sled pull 6x15 m total 92 kg + farmer carry 4x40 m 2x24 kg. Technique: push hanches basses/pas courts; pull buste gainé/bras longs; farmer épaules basses.,60-70 min,7-8,A,,,,,,,,,"Stations lourdes, qualité avant vitesse"
2026-07-31,Vendredi,5,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Zone 2,"Course Zone 2 60 min, allure conversationnelle, FC basse. Fin: 6x20s lignes droites si jambes OK + mobilité mollets/ischios 10 min. Technique: cadence stable, appuis silencieux, ne jamais dériver en seuil.",70 min,4-5,A,,,,,,,,,Séance clé moteur aérobie
2026-08-01,Samedi,5,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",HYROX spécifique,"HYROX spécifique 5 tours: 1 km run allure Hyrox + sled push 15 m total 135 kg OU sled pull 15 m total 92 kg en alternance + 10 burpee broad jumps + 250 m row. Récup 90s. Technique: transitions calmes, repartir sans sprint.",65-75 min,7-8,A,,,,,,,,,Jambes sous fatigue contrôlée
2026-08-02,Dimanche,5,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Golf long / repos,"18 trous si prévu, sinon repos complet + marche 30 min. Après: mobilité 12 min mollets/quads/hanches + auto-évaluation fatigue jambes. Si fatigue jambes >7/10: repos prioritaire.",0-240 min,2-4,B,,,,,,,,,Ne pas compenser par un WOD
2026-08-03,Lundi,6,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Force jambes,"Back squat 5x5 @115 kg + Romanian deadlift 4x6 @100 kg + Bulgarian split squat 3x8/jambe avec 2x22.5 kg + step-up box 50 cm 3x12/jambe avec 2x16 kg + finisher endurance: 3x30 walking lunges sandbag 20 kg, récup 90s. Technique: genou suit 2e orteil, gainage, respiration contrôlée.",60-70 min,7-8,A,,,,,,,,,Priorité jambes: lourd mais jamais à l'échec
2026-08-04,Mardi,6,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Running seuil / intervalles,"Échauffement 15 min + 3x2 km au seuil/RPE7-8, récup 3 min trot + 6x100 m relâché. Technique: allure contrôlée, pas de sprint, viser régularité des splits.",60-70 min,7-8,A,,,,,,,,,Objectif seuil: finir capable de refaire 1 rep
2026-08-05,Mercredi,6,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Golf / récup active,"9 trous ou practice technique golf 60-90 min + mobilité hanches/rachis thoracique 15 min + respiration 5 min. Technique golf: routine complète, équilibre finish, pas de séance physique cachée.",60-120 min,3-4,C,,,,,,,,,"Récup active, priorité fraîcheur"
2026-08-06,Jeudi,6,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Force haut + stations,Tractions strictes 4x6-8 ou tirage vertical 4x8 @80 kg + développé couché 4x6 @105 kg + rowing barre 4x8 @80 kg + sled push 6x15 m total 140 kg + sled pull 6x15 m total 95 kg + farmer carry 4x40 m 2x24 kg. Technique: push hanches basses/pas courts; pull buste gainé/bras longs; farmer épaules basses.,60-70 min,7-8,A,,,,,,,,,"Stations lourdes, qualité avant vitesse"
2026-08-07,Vendredi,6,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Zone 2,"Course Zone 2 65 min, allure conversationnelle, FC basse. Fin: 6x20s lignes droites si jambes OK + mobilité mollets/ischios 10 min. Technique: cadence stable, appuis silencieux, ne jamais dériver en seuil.",75 min,4-5,A,,,,,,,,,Séance clé moteur aérobie
2026-08-08,Samedi,6,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",HYROX spécifique,"HYROX spécifique 5 tours: 1 km run allure Hyrox + sled push 15 m total 140 kg OU sled pull 15 m total 95 kg en alternance + 10 burpee broad jumps + 250 m row. Récup 90s. Technique: transitions calmes, repartir sans sprint.",65-75 min,7-8,A,,,,,,,,,Jambes sous fatigue contrôlée
2026-08-09,Dimanche,6,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Golf long / repos,"18 trous si prévu, sinon repos complet + marche 30 min. Après: mobilité 12 min mollets/quads/hanches + auto-évaluation fatigue jambes. Si fatigue jambes >7/10: repos prioritaire.",0-240 min,2-4,B,,,,,,,,,Ne pas compenser par un WOD
2026-08-10,Lundi,7,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Force jambes,"Back squat 5x5 @120 kg + Romanian deadlift 4x6 @100 kg + Bulgarian split squat 3x8/jambe avec 2x22.5 kg + step-up box 50 cm 3x12/jambe avec 2x16 kg + finisher endurance: 3x30 walking lunges sandbag 20 kg, récup 90s. Technique: genou suit 2e orteil, gainage, respiration contrôlée.",60-70 min,7-8,A,,,,,,,,,Priorité jambes: lourd mais jamais à l'échec
2026-08-11,Mardi,7,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Running seuil / intervalles,"Échauffement 15 min + 3x2 km au seuil/RPE7-8, récup 3 min trot + 6x100 m relâché. Technique: allure contrôlée, pas de sprint, viser régularité des splits.",60-70 min,7-8,A,,,,,,,,,Objectif seuil: finir capable de refaire 1 rep
2026-08-12,Mercredi,7,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Golf / récup active,"9 trous ou practice technique golf 60-90 min + mobilité hanches/rachis thoracique 15 min + respiration 5 min. Technique golf: routine complète, équilibre finish, pas de séance physique cachée.",60-120 min,3-4,C,,,,,,,,,"Récup active, priorité fraîcheur"
2026-08-13,Jeudi,7,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Force haut + stations,Tractions strictes 4x6-8 ou tirage vertical 4x8 @80 kg + développé couché 4x6 @107.5 kg + rowing barre 4x8 @80 kg + sled push 6x15 m total 145 kg + sled pull 6x15 m total 100 kg + farmer carry 4x40 m 2x24 kg. Technique: push hanches basses/pas courts; pull buste gainé/bras longs; farmer épaules basses.,60-70 min,7-8,A,,,,,,,,,"Stations lourdes, qualité avant vitesse"
2026-08-14,Vendredi,7,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Zone 2,"Course Zone 2 70 min, allure conversationnelle, FC basse. Fin: 6x20s lignes droites si jambes OK + mobilité mollets/ischios 10 min. Technique: cadence stable, appuis silencieux, ne jamais dériver en seuil.",80 min,4-5,A,,,,,,,,,Séance clé moteur aérobie
2026-08-15,Samedi,7,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",HYROX spécifique,"HYROX spécifique 5 tours: 1 km run allure Hyrox + sled push 15 m total 145 kg OU sled pull 15 m total 100 kg en alternance + 10 burpee broad jumps + 250 m row. Récup 90s. Technique: transitions calmes, repartir sans sprint.",65-75 min,7-8,A,,,,,,,,,Jambes sous fatigue contrôlée
2026-08-16,Dimanche,7,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Golf long / repos,"18 trous si prévu, sinon repos complet + marche 30 min. Après: mobilité 12 min mollets/quads/hanches + auto-évaluation fatigue jambes. Si fatigue jambes >7/10: repos prioritaire.",0-240 min,2-4,B,,,,,,,,,Ne pas compenser par un WOD
2026-08-17,Lundi,8,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Force jambes,"Back squat 3x5 @97.5 kg tempo 3s descente + Romanian deadlift 3x6 @82.5 kg + Bulgarian split squat 2x8/jambe avec 2x20 kg + Leg press 2x25 RPE7 + walking lunges 2x30 pas à vide. Technique: genoux alignés, pied entier au sol, buste gainé, pas d'échec.",50-60 min,6-7,A,,,,,,,,,Décharge/test technique: garder 3 reps en réserve
2026-08-18,Mardi,8,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Running seuil / intervalles,"Échauffement 15 min + 3x2 km au seuil/RPE7-8, récup 3 min trot + 6x100 m relâché. Technique: allure contrôlée, pas de sprint, viser régularité des splits.",60-70 min,7-8,A,,,,,,,,,Objectif seuil: finir capable de refaire 1 rep
2026-08-19,Mercredi,8,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Golf / récup active,"9 trous ou practice technique golf 60-90 min + mobilité hanches/rachis thoracique 15 min + respiration 5 min. Technique golf: routine complète, équilibre finish, pas de séance physique cachée.",60-120 min,3-4,C,,,,,,,,,"Récup active, priorité fraîcheur"
2026-08-20,Jeudi,8,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Force haut + stations,"Tractions/row inversé 4x6-8 + développé couché 3x6 @90 kg + rowing haltère 3x10/bras 32 kg + sled push technique 6x15 m total 125 kg + sled pull technique 6x15 m total 82 kg + farmer carry 4x40 m 2x24 kg. Technique: puissance propre, récup complète 90-120s.",50-60 min,6-7,A,,,,,,,,,Semaine allégée: priorité technique sled
2026-08-21,Vendredi,8,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Zone 2,"Course Zone 2 50 min, allure conversationnelle, FC basse. Fin: 6x20s lignes droites si jambes OK + mobilité mollets/ischios 10 min. Technique: cadence stable, appuis silencieux, ne jamais dériver en seuil.",60 min,4-5,A,,,,,,,,,Séance clé moteur aérobie
2026-08-22,Samedi,8,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",HYROX spécifique,Test 4 stations: 1 km run + sled push 50 m total 125 kg + 1 km run + sled pull 50 m total 82 kg + 1 km run + 80 m burpee broad jumps + 1 km run + row 1000 m. Chrono continu. Technique: pacing strict.,70-85 min,8,A,,,,,,,,,Test bloc 2: comparer au prochain test
2026-08-23,Dimanche,8,Bloc 2 - Seuil + endurance musculaire,"Seuil running, jambes sous fatigue, ateliers modérés",Golf long / repos,"18 trous si prévu, sinon repos complet + marche 30 min. Après: mobilité 12 min mollets/quads/hanches + auto-évaluation fatigue jambes. Si fatigue jambes >7/10: repos prioritaire.",0-240 min,2-4,B,,,,,,,,,Ne pas compenser par un WOD
2026-08-24,Lundi,9,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Force jambes,"Back squat 5x5 @110 kg + Romanian deadlift 4x6 @100 kg + Bulgarian split squat 3x8/jambe avec 2x22.5 kg + step-up box 50 cm 3x12/jambe avec 2x16 kg + finisher endurance: 3x30 walking lunges sandbag 20 kg, récup 90s. Technique: genou suit 2e orteil, gainage, respiration contrôlée.",60-70 min,7-8,A,,,,,,,,,Priorité jambes: lourd mais jamais à l'échec
2026-08-25,Mardi,9,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Running seuil / intervalles,"Compromised run: 5 tours de 1 km course allure Hyrox cible + 20 wall balls 6 kg cible 3 m + 12 burpees broad jumps propres. Récup 90s entre tours. Technique course: relance souple après station, ne pas exploser le 1er km.",65-75 min,8,A,,,,,,,,,Noter split run après station
2026-08-26,Mercredi,9,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Golf / récup active,"9 trous ou practice technique golf 60-90 min + mobilité hanches/rachis thoracique 15 min + respiration 5 min. Technique golf: routine complète, équilibre finish, pas de séance physique cachée.",60-120 min,3-4,C,,,,,,,,,"Récup active, priorité fraîcheur"
2026-08-27,Jeudi,9,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Force haut + stations,Tractions strictes 4x6-8 ou tirage vertical 4x8 @80 kg + développé couché 4x6 @100 kg + rowing barre 4x8 @80 kg + sled push 6x15 m total 152 kg + sled pull 6x15 m total 103 kg + farmer carry 4x40 m 2x24 kg. Technique: push hanches basses/pas courts; pull buste gainé/bras longs; farmer épaules basses.,60-70 min,7-8,A,,,,,,,,,"Stations lourdes, qualité avant vitesse"
2026-08-28,Vendredi,9,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Zone 2,"Course Zone 2 65 min, allure conversationnelle, FC basse. Fin: 6x20s lignes droites si jambes OK + mobilité mollets/ischios 10 min. Technique: cadence stable, appuis silencieux, ne jamais dériver en seuil.",75 min,4-5,A,,,,,,,,,Séance clé moteur aérobie
2026-08-29,Samedi,9,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",HYROX spécifique,"Simulation Hyrox 6 stations: 1 km run + SkiErg 1000 m + 1 km run + sled push 50 m total 152 kg + 1 km run + sled pull 50 m total 103 kg + 1 km run + burpee broad jump 80 m + 1 km run + row 1000 m + 1 km run + farmer carry 200 m 2x24 kg. Technique: course à allure cible, stations propres, transitions <45s.",85-105 min,8-9,A,,,,,,,,,Simulation partielle lourde
2026-08-30,Dimanche,9,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Golf long / repos,"18 trous si prévu, sinon repos complet + marche 30 min. Après: mobilité 12 min mollets/quads/hanches + auto-évaluation fatigue jambes. Si fatigue jambes >7/10: repos prioritaire.",0-240 min,2-4,B,,,,,,,,,Ne pas compenser par un WOD
2026-08-31,Lundi,10,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Force jambes,"Back squat 5x5 @112.5 kg + Romanian deadlift 4x6 @100 kg + Bulgarian split squat 3x8/jambe avec 2x22.5 kg + step-up box 50 cm 3x12/jambe avec 2x16 kg + finisher endurance: 3x30 walking lunges sandbag 20 kg, récup 90s. Technique: genou suit 2e orteil, gainage, respiration contrôlée.",60-70 min,7-8,A,,,,,,,,,Priorité jambes: lourd mais jamais à l'échec
